CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL,DEPARTAMENTO_ORIGEN,ESTABLECIMIENTO_ORIG,DIRECCION_ORIG,TELEFONO_ORIG,TELEFONO_VALIDO,ZONA,DIRECCION_STD,DIR_AVENIDA,DIR_CALLE,DIR_KM,DIR_NUMERO,__KEY_MERGE_CAP__,DUP_CAPITAL_MERGE,DUP_CAPITAL_CODIGOS_DISTINTOS
15 - 02 - 0126 - 46,15 - 034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SAN RAFAEL,32053375,WILSON ESTUARDO CANAHUI JA,REYNA AMALIA ROJAS GALIEGO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA SAN RAFAEL,32053375,True,,ALDEA SAN RAFAEL,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA SAN RAFAEL|SAN MIGUEL CHICAJ|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|32053375,False,False
15 - 02 - 0129 - 46,15 - 034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL PROGRESO,58592232,WILSON ESTUARDO CANAHUI JA,NORMA ELIZABETH MATIAS IXTECOC,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA EL PROGRESO,58592232,True,,ALDEA EL PROGRESO,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA EL PROGRESO|SAN MIGUEL CHICAJ|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|58592232,False,False
15 - 02 - 0131 - 46,15 - 024,BAJA VERAPAZ,SAN MIGUEL CHICAJ,CENTRO DE EDUCACION EXTRAESCOLAR - CEEX -,CANTÓN SAN JUAN,54887718,VIVIAN VERONICA PRERA NOGUERA,ALONDRA VANESSA VALEY IXPATÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,BajaVerapaz,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX -,CANTÓN SAN JUAN,54887718,True,,CANTON SAN JUAN,,,,,CENTRO DE EDUCACION EXTRAESCOLAR - CEEX - |CANTON SAN JUAN|SAN MIGUEL CHICAJ|BAJA VERAPAZ|DOBLE|SEMIPRESENCIAL|54887718,False,False
15 - 02 - 0135 - 46,15 - 034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,56903927,WILSON ESTUARDO CANAHUI JA,ELDER ROCAEL TISTA CANAHUÍ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,COLEGIO PARTICULAR BAUTISTA MIXTO,CANTÓN LA CRUZ,56903927,True,,CANTON LA CRUZ,,,,,COLEGIO PARTICULAR BAUTISTA MIXTO|CANTON LA CRUZ|SAN MIGUEL CHICAJ|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|56903927,False,False
15 - 02 - 0138 - 46,15 - 034,BAJA VERAPAZ,SAN MIGUEL CHICAJ,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,ALDEA SAN GABRIEL PANTZUJ,42559525,WILSON ESTUARDO CANAHUI JA,RONALDO MORALES SIS,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,ALDEA SAN GABRIEL PANTZUJ,42559525,True,,ALDEA SAN GABRIEL PANTZUJ,,,,,COLEGIO PARTICULAR MIXTO NUEVO AMANECER|ALDEA SAN GABRIEL PANTZUJ|SAN MIGUEL CHICAJ|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|42559525,False,False
15 - 03 - 0046 - 46,15 - 031,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,2A. CALLE Y 4A. AVENIDA ZONA 3 FRENTE AL CAMPO DE AVIACIÓN,47050351,EDGAR OVIDIO SIC XITUMUL,ODILIA MIRTALA GÓMEZ JUÁREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,2A. CALLE Y 4A. AVENIDA ZONA 3 FRENTE AL CAMPO DE AVIACIÓN,47050351,True,3,2A. CALLE Y 4A. AVENIDA FRENTE AL CAMPO DE AVIACION,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|2A. CALLE Y 4A. AVENIDA FRENTE AL CAMPO DE AVIACION|RABINAL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|47050351,False,False
15 - 03 - 0059 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,EDGAR OVIDIO SIC XITUMUL,ARABELA CONSUELO IXPATÁ AJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,COLEGIO PARTICULAR MIXTO SANTO DOMINGO,4A. AVENIDA ENTRE 3A. Y 4A. CALLE ZONA 2,79388037,True,2,4A. AVENIDA ENTRE 3A. Y 4A. CALLE,,,,,COLEGIO PARTICULAR MIXTO SANTO DOMINGO|4A. AVENIDA ENTRE 3A. Y 4A. CALLE|RABINAL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79388037,False,False
15 - 03 - 0070 - 46,15 - 031,BAJA VERAPAZ,RABINAL,CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO,"CASERÍO CORROLABAJ, ALDEA CHITICOY",79388218,EDGAR OVIDIO SIC XITUMUL,RÓMULO ESTUARDO HERNÁNDEZ HERRERA,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO,"CASERÍO CORROLABAJ, ALDEA CHITICOY",79388218,True,,"CASERIO CORROLABAJ, ALDEA CHITICOY",,,,,"CENTRO EDUCATIVO COMUNITARIO BILINGUE INTERCULTURAL NUEVA ESPERANZA RIO NEGRO|CASERIO CORROLABAJ, ALDEA CHITICOY|RABINAL|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|79388218",False,False
15 - 03 - 0076 - 46,15 - 031,BAJA VERAPAZ,RABINAL,ENBI OXLAJUJ NO'OJ,ALDEA PACHALUM,55322450,EDGAR OVIDIO SIC XITUMUL,MANUEL RODRIGO ALVA XITUMUL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,ENBI OXLAJUJ NO´OJ,ALDEA PACHALUM,55322450,True,,ALDEA PACHALUM,,,,,ENBI OXLAJUJ NO'OJ|ALDEA PACHALUM|RABINAL|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|55322450,False,False
15 - 03 - 0085 - 46,15 - 031,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA CONCUL,56376500,EDGAR OVIDIO SIC XITUMUL,FREDY OTONIEL RAYMUNDO RODRIGUEZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA CONCUL,56376500,True,,ALDEA CONCUL,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA CONCUL|RABINAL|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|56376500,False,False
15 - 03 - 0092 - 46,15 - 031,BAJA VERAPAZ,RABINAL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,"CASERÍO PLAN DE SANCHEZ, ALDEA RAXJUT",58441519,EDGAR OVIDIO SIC XITUMUL,WILSON FRANKYN TOJ PÉREZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,"CASERÍO PLAN DE SANCHEZ, ALDEA RAXJUT",58441519,True,,"CASERIO PLAN DE SANCHEZ, ALDEA RAXJUT",,,,,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|CASERIO PLAN DE SANCHEZ, ALDEA RAXJUT|RABINAL|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|58441519",False,False
15 - 03 - 0141 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO PARTICULAR MIXTO VIDA NUEVA,"4TA. AVENIDA 1 - 83, ZONA 2",47406365,EDGAR OVIDIO SIC XITUMUL,EMILIA MARLENY GONZALEZ TORRES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,COLEGIO PARTICULAR MIXTO VIDA NUEVA,"4TA. AVENIDA 1 - 83, ZONA 2",47406365,True,2,"AVENIDA 1, 4TA. - 83",1,,,,"COLEGIO PARTICULAR MIXTO VIDA NUEVA|AVENIDA 1, 4TA. - 83|RABINAL|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|47406365",False,False
15 - 03 - 0143 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO INTEGRAL NUEVA GENERACION,"1A. CALLE 7 - 17, ZONA 2",79388194,EDGAR OVIDIO SIC XITUMUL,GERMAN RAXCACÓ GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,COLEGIO INTEGRAL NUEVA GENERACIÓN,"1A. CALLE 7 - 17, ZONA 2",79388194,True,2,"CALLE 7, 1A. - 17",,7,,,"COLEGIO INTEGRAL NUEVA GENERACION|CALLE 7, 1A. - 17|RABINAL|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|79388194",False,False
15 - 03 - 0145 - 46,15 - 031,BAJA VERAPAZ,RABINAL,CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACION EN COMPUTACION,"3A. CALLE 5 - 41, ZONA 2",47477455,EDGAR OVIDIO SIC XITUMUL,FÉLIX ISMALEJ MORALES,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACIÓN EN COMPUTACIÓN,"3A. CALLE 5 - 41, ZONA 2",47477455,True,2,"CALLE 5, 3A. - 41",,5,,,"CENTRO EDUCATIVO ESTUDIANTIL CON ORIENTACION EN COMPUTACION|CALLE 5, 3A. - 41|RABINAL|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|47477455",False,False
15 - 03 - 0778 - 46,15 - 031,BAJA VERAPAZ,RABINAL,CENTRO CULTURAL DE AMERICA,3 CALLE 2 - 87 ZONA 2,79388718,EDGAR OVIDIO SIC XITUMUL,FABIO RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,CENTRO CULTURAL DE AMERICA,3 CALLE 2 - 87 ZONA 2,79388718,True,2,"CALLE 2, 3 - 87",,2,,,"CENTRO CULTURAL DE AMERICA|CALLE 2, 3 - 87|RABINAL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79388718",False,False
15 - 03 - 1888 - 46,15 - 031,BAJA VERAPAZ,RABINAL,CENTRO CULTURAL DE AMERICA,3ERA. CALLE 2 - 87 ZONA 2,79388718,EDGAR OVIDIO SIC XITUMUL,FABIO RAXCACO ISMALEJ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,CENTRO CULTURAL DE AMERICA,3ERA. CALLE 2 - 87 ZONA 2,79388718,True,2,"CALLE 2, 3ERA. - 87",,2,,,"CENTRO CULTURAL DE AMERICA|CALLE 2, 3ERA. - 87|RABINAL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79388718",False,False
15 - 03 - 1963 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO MIXTO ZAMANEB,2DA. CALLE 2 - 15 ZONA 1,79388962,EDGAR OVIDIO SIC XITUMUL,OSCAR ARMANDO GUZMÁN MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,COLEGIO MIXTO ZAMANEB,2DA. CALLE 2 - 15 ZONA 1,79388962,True,1,"CALLE 2, 2A . - 15",,2,,,"COLEGIO MIXTO ZAMANEB|CALLE 2, 2A . - 15|RABINAL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79388962",False,False
15 - 03 - 2050 - 46,15 - 031,BAJA VERAPAZ,RABINAL,ESCUELA NORMAL BILINGUE INTERCULTURAL OXLAJUJ NO'OJ,ALDEA PACHALUM,36596040,EDGAR OVIDIO SIC XITUMUL,MANUEL RODRIGO ALVA XITUMUL,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,BILINGUE,DOBLE,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,ESCUELA NORMAL BILINGÜE INTERCULTURAL OXLAJUJ NO´OJ,ALDEA PACHALUM,36596040,True,,ALDEA PACHALUM,,,,,ESCUELA NORMAL BILINGUE INTERCULTURAL OXLAJUJ NO'OJ|ALDEA PACHALUM|RABINAL|BAJA VERAPAZ|DOBLE|DIARIO (REGULAR)|36596040,False,False
15 - 03 - 2052 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO MIXTO ZAMANEB,2DA. CALLE 2 - 15 ZONA 1,79388962,EDGAR OVIDIO SIC XITUMUL,JORGE RONALDO OLIVA GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,BajaVerapaz,COLEGIO MIXTO ZAMANEB,2DA. CALLE 2 - 15 ZONA 1,79388962,True,1,"CALLE 2, 2A . - 15",,2,,,"COLEGIO MIXTO ZAMANEB|CALLE 2, 2A . - 15|RABINAL|BAJA VERAPAZ|DOBLE|FIN DE SEMANA|79388962",False,False
15 - 03 - 2150 - 46,15 - 031,BAJA VERAPAZ,RABINAL,COLEGIO INTEGRAL NUEVA GENERACION,1A. CALLE 7 - 17 ZONA 2,79388194,EDGAR OVIDIO SIC XITUMUL,GERMAN RAXCACÓ GÓMEZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,BajaVerapaz,COLEGIO INTEGRAL NUEVA GENERACION,1A. CALLE 7 - 17 ZONA 2,79388194,True,2,"CALLE 7, 1A. - 17",,7,,,"COLEGIO INTEGRAL NUEVA GENERACION|CALLE 7, 1A. - 17|RABINAL|BAJA VERAPAZ|DOBLE|FIN DE SEMANA|79388194",False,False
15 - 04 - 0089 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO NUEVA ESPERANZA,BARRIO MAGDALENA,79545457,HUGO MAURICIO MORALES MORALES,JUAN QUILÁ SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO NUEVA ESPERANZA,BARRIO MAGDALENA,79545457,True,,BARRIO MAGDALENA,,,,,CENTRO EDUCATIVO NUEVA ESPERANZA|BARRIO MAGDALENA|CUBULCO|BAJA VERAPAZ|DOBLE|FIN DE SEMANA|79545457,False,False
15 - 04 - 0100 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CASERÍO CHIRUJ,58012060,HUGO MAURICIO MORALES MORALES,GASPAR ENRIQUE DE LA CRUZ PRIMERO,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CASERÍO CHIRUJ,58012060,True,,CASERIO CHIRUJ,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|CASERIO CHIRUJ|CUBULCO|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|58012060,False,False
15 - 04 - 0223 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,ALDEA PACHOJOP,50624654,HUGO MAURICIO MORALES MORALES,ELÍAS CAMAJÁ CEBALLOS,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA PACHOJOP,50624654,True,,ALDEA PACHOJOP,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|ALDEA PACHOJOP|CUBULCO|BAJA VERAPAZ|MATUTINA|DIARIO (REGULAR)|50624654,False,False
15 - 04 - 0248 - 46,15 - 024,BAJA VERAPAZ,CUBULCO,CENTRO DE EDUCACION EXTRAESCOLAR - CEEX -,CASERÍO CHIRUJ,54887718,VIVIAN VERONICA PRERA NOGUERA,ALONDRA VANESSA VALEY IXPATÁ,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,BAJA VERAPAZ,BajaVerapaz,CENTRO DE EDUCACIÓN EXTRAESCOLAR - CEEX -,CASERÍO CHIRUJ,54887718,True,,CASERIO CHIRUJ,,,,,CENTRO DE EDUCACION EXTRAESCOLAR - CEEX - |CASERIO CHIRUJ|CUBULCO|BAJA VERAPAZ|DOBLE|SEMIPRESENCIAL|54887718,False,False
15 - 04 - 0252 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO NUEVA ESPERANZA,BARRIO MAGDALENA,79545457,HUGO MAURICIO MORALES MORALES,JUAN QUILÁ SANTOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (DOS DIAS A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO NUEVA ESPERANZA,BARRIO MAGDALENA,79545457,True,,BARRIO MAGDALENA,,,,,CENTRO EDUCATIVO NUEVA ESPERANZA|BARRIO MAGDALENA|CUBULCO|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (DOS DIAS A LA SEMANA)|79545457,False,False
15 - 04 - 0257 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,50344461,HUGO MAURICIO MORALES MORALES,ABELINO PRIMERO CAMAJÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,50344461,True,,BARRIO MAGDALENA,,,,,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA|BARRIO MAGDALENA|CUBULCO|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|50344461,False,False
15 - 04 - 0258 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,50344461,HUGO MAURICIO MORALES MORALES,ABELINO PRIMERO CAMAJÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,BajaVerapaz,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA,BARRIO MAGDALENA,50344461,True,,BARRIO MAGDALENA,,,,,CENTRO EDUCATIVO DIEGO PRIMERO ALONZO CEDPA|BARRIO MAGDALENA|CUBULCO|BAJA VERAPAZ|DOBLE|FIN DE SEMANA|50344461,False,False
15 - 04 - 0670 - 46,15 - 029,BAJA VERAPAZ,CUBULCO,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,BARRIO MAGDALENA,79540241,HUGO MAURICIO MORALES MORALES,BYRON JOSÉ ALVARADO CABRERA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,COLEGIO PARTICULAR MIXTO NUEVO AMANECER,BARRIO MAGDALENA,79540241,True,,BARRIO MAGDALENA,,,,,COLEGIO PARTICULAR MIXTO NUEVO AMANECER|BARRIO MAGDALENA|CUBULCO|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|79540241,False,False
15 - 05 - 0014 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CABECERA MUNICIPAL,57678563,JORGE ARNOLDO ALVARADO PEREZ,ELIDO ARCENIO MAYÉN CÓRDOVA,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CABECERA MUNICIPAL,57678563,True,,CABECERA MUNICIPAL,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|CABECERA MUNICIPAL|GRANADOS|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|57678563,False,False
15 - 05 - 0037 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,JORGE ARNOLDO ALVARADO PEREZ,FILADELFO GARCÍA ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,BAJA VERAPAZ,BajaVerapaz,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,True,,GRANADOS,,,,,COLEGIO INTERCULTURAL TUNCAJ|GRANADOS|GRANADOS|BAJA VERAPAZ|DOBLE|FIN DE SEMANA|40737673,False,False
15 - 05 - 0045 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,CENTRO DE ESTUDIOS MAGISTERIALES CEM,ALDEA POTRERO GRANDE,55263805,JORGE ARNOLDO ALVARADO PEREZ,SERGIO LEONEL GARCÍA ARÉVALO,DIVERSIFICADO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,CENTRO DE ESTUDIOS MAGISTERIALES CEM,ALDEA POTRERO GRANDE,55263805,True,,ALDEA POTRERO GRANDE,,,,,CENTRO DE ESTUDIOS MAGISTERIALES CEM|ALDEA POTRERO GRANDE|GRANADOS|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|55263805,False,False
15 - 05 - 0047 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40731673,JORGE ARNOLDO ALVARADO PEREZ,FILADELFO GARCÍA ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DIA A LA SEMANA),BAJA VERAPAZ,BajaVerapaz,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40731673,True,,GRANADOS,,,,,COLEGIO INTERCULTURAL TUNCAJ|GRANADOS|GRANADOS|BAJA VERAPAZ|SIN JORNADA|SEMIPRESENCIAL (UN DIA A LA SEMANA)|40731673,False,False
15 - 05 - 1942 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,JORGE ARNOLDO ALVARADO PEREZ,FILADELFO GARCÍA ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,True,,GRANADOS,,,,,COLEGIO INTERCULTURAL TUNCAJ|GRANADOS|GRANADOS|BAJA VERAPAZ|DOBLE|DIARIO (REGULAR)|40737673,False,False
15 - 05 - 2153 - 46,15 - 016,BAJA VERAPAZ,GRANADOS,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,JORGE ARNOLDO ALVARADO PEREZ,FILADELFO GARCÍA ALVARADO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,COLEGIO INTERCULTURAL TUNCAJ,GRANADOS,40737673,True,,GRANADOS,,,,,COLEGIO INTERCULTURAL TUNCAJ|GRANADOS|GRANADOS|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|40737673,False,False
15 - 06 - 0006 - 46,15 - 018,BAJA VERAPAZ,SANTA CRUZ EL CHOL,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CABECERA MUNICIPAL,58925475,CESAR LEONEL GRAMAJO JIMENEZ,ERICK OBDULIO JUÁREZ,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO (REGULAR),BAJA VERAPAZ,BajaVerapaz,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,CABECERA MUNICIPAL,58925475,True,,CABECERA MUNICIPAL,,,,,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA|CABECERA MUNICIPAL|SANTA CRUZ EL CHOL|BAJA VERAPAZ|VESPERTINA|DIARIO (REGULAR)|58925475,False,False
